Draw Date,1,2,3,4,5,Mega Ball,Megaplier
"Tue, Dec 18, 2012",7,18,29,1,6,16,3X
"Fri, Dec 14, 2012",41,28,11,33,43,41,4X
"Tue, Dec 11, 2012",44,54,39,52,51,13,4X
"Fri, Dec 07, 2012",43,7,44,51,56,4,3X
"Tue, Dec 04, 2012",19,32,3,43,24,44,4X
"Fri, Nov 30, 2012",24,31,28,11,22,46,3X
"Tue, Nov 27, 2012",42,26,12,5,49,24,4X
"Tue, Nov 27, 2012",42,26,12,5,49,24,4X
"Fri, Nov 23, 2012",47,37,8,44,48,27,4X
"Tue, Nov 20, 2012",9,52,13,22,38,44,4X
"Tue, Nov 20, 2012",9,52,13,22,38,44,4X
"Fri, Nov 16, 2012",26,5,24,53,29,36,4X
"Tue, Nov 13, 2012",12,31,6,46,56,34,2X
"Fri, Nov 09, 2012",35,18,40,33,22,11,4X
"Tue, Nov 06, 2012",35,32,3,5,13,6,3X
"Fri, Nov 02, 2012",38,18,4,44,22,24,3X
"Tue, Oct 30, 2012",29,5,12,56,18,38,4X
"Fri, Oct 26, 2012",36,4,24,40,15,44,2X
"Tue, Oct 23, 2012",42,55,17,1,46,1,2X
"Fri, Oct 19, 2012",14,48,36,34,53,42,3X
"Tue, Oct 16, 2012",37,46,52,13,40,29,4X
"Fri, Oct 12, 2012",26,24,10,6,42,15,4X
"Tue, Oct 09, 2012",22,15,6,16,37,3,4X
"Fri, Oct 05, 2012",9,16,32,8,39,15,3X
"Tue, Oct 02, 2012",55,20,11,10,42,9,4X
"Fri, Sep 28, 2012",6,14,28,56,43,28,4X
"Fri, Sep 28, 2012",6,14,8,56,43,28,4X
"Tue, Sep 25, 2012",50,51,23,8,7,26,3X
"Fri, Sep 21, 2012",13,55,3,14,46,34,4X
"Tue, Sep 18, 2012",9,5,22,49,36,36,3X
"Fri, Sep 14, 2012",40,21,51,16,17,20,4X
"Tue, Sep 11, 2012",20,5,33,36,11,11,3X
"Fri, Sep 07, 2012",32,42,15,46,38,31,4X
"Tue, Sep 04, 2012",41,39,53,32,16,16,3X
"Fri, Aug 31, 2012",40,47,48,31,41,45,3X
"Tue, Aug 28, 2012",9,50,40,45,4,39,4X
"Fri, Aug 24, 2012",45,34,46,25,49,34,2X
"Tue, Aug 21, 2012",5,33,13,23,20,30,2X
"Fri, Aug 17, 2012",56,35,20,24,8,24,3X
"Tue, Aug 14, 2012",15,34,39,23,55,32,4X
"Fri, Aug 10, 2012",10,38,36,44,18,8,4X
"Tue, Aug 07, 2012",48,33,30,32,42,7,4X
"Fri, Aug 03, 2012",46,38,10,2,13,2,3X
"Tue, Jul 31, 2012",21,29,5,18,41,37,3X
"Fri, Jul 27, 2012",43,8,4,2,3,26,3X
"Tue, Jul 24, 2012",46,5,51,9,38,5,4X
"Fri, Jul 20, 2012",50,2,44,48,52,3,3X
"Tue, Jul 17, 2012",21,1,49,55,13,17,4X
"Fri, Jul 13, 2012",24,13,46,6,7,34,2X
"Tue, Jul 10, 2012",36,3,11,19,23,21,4X
"Fri, Jul 06, 2012",28,35,39,23,20,21,3X
"Tue, Jul 03, 2012",52,36,24,4,3,45,4X
"Fri, Jun 29, 2012",39,34,45,28,53,34,4X
"Tue, Jun 26, 2012",36,23,3,16,35,20,4X
"Fri, Jun 22, 2012",19,32,10,36,16,13,3X
"Tue, Jun 19, 2012",53,11,30,27,21,11,2X
"Fri, Jun 15, 2012",18,8,12,30,40,4,3X
"Tue, Jun 12, 2012",9,17,50,2,34,45,4X
"Fri, Jun 08, 2012",9,4,34,48,40,25,3X
"Tue, Jun 05, 2012",37,39,55,53,42,22,3X
"Fri, Jun 01, 2012",2,52,46,38,27,45,3X
"Tue, May 29, 2012",2,53,55,29,14,31,3X
"Fri, May 25, 2012",54,15,40,21,9,11,4X
"Tue, May 22, 2012",14,43,35,52,10,16,2X
"Fri, May 18, 2012",49,34,22,11,3,1,4X
"Tue, May 15, 2012",10,12,14,24,11,6,4X
"Fri, May 11, 2012",15,35,3,29,54,8,4X
"Tue, May 08, 2012",2,6,8,51,18,19,3X
"Fri, May 04, 2012",21,4,53,42,11,38,4X
"Tue, May 01, 2012",45,27,52,31,24,38,4X
"Fri, Apr 27, 2012",5,47,2,46,45,37,4X
"Tue, Apr 24, 2012",38,15,3,9,37,39,4X
"Fri, Apr 20, 2012",33,26,14,35,23,40,3X
"Tue, Apr 17, 2012",32,24,48,1,16,2,4X
"Fri, Apr 13, 2012",9,17,42,36,14,33,4X
"Tue, Apr 10, 2012",48,31,6,2,12,25,4X
"Fri, Apr 06, 2012",20,19,33,2,24,39,4X
"Tue, Apr 03, 2012",38,11,35,52,41,40,4X
"Fri, Mar 30, 2012",46,23,38,4,2,23,3X
"Tue, Mar 27, 2012",19,44,34,9,51,24,3X
"Fri, Mar 23, 2012",19,17,6,20,21,20,4X
"Tue, Mar 20, 2012",6,11,14,4,1,30,4X
"Fri, Mar 16, 2012",43,51,53,29,28,7,3X
"Tue, Mar 13, 2012",30,2,8,48,36,31,3X
"Fri, Mar 09, 2012",42,9,27,10,36,11,4X
"Tue, Mar 06, 2012",31,24,20,33,36,44,4X
"Fri, Mar 02, 2012",48,29,52,54,16,5,2X
"Tue, Feb 28, 2012",51,15,39,29,6,36,3X
"Fri, Feb 24, 2012",27,1,16,25,18,3,4X
"Tue, Feb 21, 2012",9,39,42,30,47,37,3X
"Fri, Feb 17, 2012",16,25,28,32,40,3,3X
"Tue, Feb 14, 2012",3,27,5,10,26,27,2X
"Fri, Feb 10, 2012",4,50,18,3,29,20,4X
"Tue, Feb 07, 2012",37,45,17,30,23,4,4X
"Fri, Feb 03, 2012",7,49,19,21,53,35,4X
"Tue, Jan 31, 2012",9,18,28,43,17,9,3X
"Fri, Jan 27, 2012",5,3,30,36,48,23,4X
"Tue, Jan 24, 2012",10,49,22,36,24,33,4X
"Fri, Jan 20, 2012",38,47,28,9,1,8,2X
"Tue, Jan 17, 2012",15,53,31,3,36,27,2X
"Fri, Jan 13, 2012",10,27,28,51,37,19,3X
"Tue, Jan 10, 2012",10,48,38,4,16,34,3X
"Fri, Jan 06, 2012",9,17,28,34,48,46,2X
"Tue, Jan 03, 2012",15,36,2,3,22,23,2X
"Fri, Dec 30, 2011",45,24,52,4,46,1,4X
"Tue, Dec 27, 2011",32,43,23,33,39,8,3X
"Fri, Dec 23, 2011",8,3,5,29,18,14,4X
"Fri, Dec 23, 2011",8,3,5,29,18,14,4X
"Tue, Dec 20, 2011",24,45,51,27,20,31,4X
"Fri, Dec 16, 2011",2,4,39,36,26,27,3X
"Tue, Dec 13, 2011",6,41,26,22,5,6,4X
"Fri, Dec 09, 2011",12,29,49,4,51,44,4X
"Tue, Dec 06, 2011",7,49,21,35,29,39,4X
"Fri, Dec 02, 2011",48,24,51,56,30,45,4X
"Tue, Nov 29, 2011",52,48,29,43,17,36,4X
"Fri, Nov 25, 2011",28,42,22,54,49,43,3X
"Tue, Nov 22, 2011",33,23,4,48,16,38,2X
"Fri, Nov 18, 2011",55,33,4,13,39,3,4X
"Tue, Nov 15, 2011",6,24,33,30,3,21,4X
"Fri, Nov 11, 2011",29,16,50,2,22,27,4X
"Tue, Nov 08, 2011",31,45,54,47,5,4,4X
"Fri, Nov 04, 2011",30,33,26,44,32,1,4X
"Tue, Nov 01, 2011",39,31,46,40,27,36,3X
"Fri, Oct 28, 2011",52,56,49,31,13,41,4X
"Tue, Oct 25, 2011",44,40,46,13,33,8,4X
"Fri, Oct 21, 2011",6,37,35,38,21,17,3X
"Tue, Oct 18, 2011",24,53,25,47,45,42,2X
"Fri, Oct 14, 2011",42,54,45,35,13,26,4X
"Tue, Oct 11, 2011",25,44,34,56,38,27,4X
"Fri, Oct 07, 2011",15,5,38,19,23,19,4X
"Tue, Oct 04, 2011",40,3,26,52,45,11,3X
"Fri, Sep 30, 2011",19,45,21,3,44,29,4X
"Tue, Sep 27, 2011",20,2,36,28,45,37,4X
"Fri, Sep 23, 2011",27,32,52,40,21,36,4X
"Tue, Sep 20, 2011",38,29,51,50,6,39,4X
"Fri, Sep 16, 2011",41,23,45,6,56,24,4X
"Tue, Sep 13, 2011",22,56,48,43,31,45,4X
"Fri, Sep 09, 2011",31,12,23,19,7,45,4X
"Tue, Sep 06, 2011",38,49,1,36,42,19,4X
"Fri, Sep 02, 2011",44,48,55,25,49,20,3X
"Tue, Aug 30, 2011",22,50,2,28,25,18,4X
"Fri, Aug 26, 2011",27,47,30,2,3,36,3X
"Tue, Aug 23, 2011",21,44,49,48,11,23,3X
"Fri, Aug 19, 2011",53,56,54,15,5,22,2X
"Tue, Aug 16, 2011",42,41,43,38,4,44,4X
"Fri, Aug 12, 2011",51,54,55,43,9,13,4X
"Tue, Aug 09, 2011",19,54,45,11,39,15,4X
"Fri, Aug 05, 2011",42,24,28,6,33,19,3X
"Tue, Aug 02, 2011",17,19,14,32,20,28,4X
"Fri, Jul 29, 2011",8,22,47,10,48,35,4X
"Tue, Jul 26, 2011",52,35,55,20,25,10,3X
"Fri, Jul 22, 2011",56,31,39,32,23,38,4X
"Tue, Jul 19, 2011",2,16,9,10,35,40,4X
"Tue, Jul 19, 2011",2,16,9,10,35,40,4X
"Fri, Jul 15, 2011",46,56,16,30,29,6,3X
"Tue, Jul 12, 2011",11,49,44,3,9,9,4X
"Fri, Jul 08, 2011",22,2,1,37,50,45,3X
"Tue, Jul 05, 2011",46,10,13,1,18,19,2X
"Fri, Jul 01, 2011",30,12,47,35,17,26,4X
"Tue, Jun 28, 2011",47,27,12,48,17,33,4X
"Fri, Jun 24, 2011",40,49,14,10,51,4,3X
"Tue, Jun 21, 2011",46,24,25,11,31,17,3X
"Fri, Jun 17, 2011",47,46,29,12,51,24,4X
"Tue, Jun 14, 2011",9,10,20,51,53,24,4X
"Fri, Jun 10, 2011",18,27,38,37,21,7,3X
"Tue, Jun 07, 2011",32,29,35,47,52,13,4X
"Fri, Jun 03, 2011",49,41,53,20,23,31,3X
"Tue, May 31, 2011",28,55,31,30,37,13,3X
"Fri, May 27, 2011",28,7,5,56,14,10,4X
"Tue, May 24, 2011",12,43,9,42,21,42,3X
"Fri, May 20, 2011",45,17,48,10,19,30,4X
"Tue, May 17, 2011",1,2,25,17,48,45,4X
"Fri, May 13, 2011",53,47,39,3,33,9,4X
"Tue, May 10, 2011",40,16,11,51,34,34,4X
"Fri, May 06, 2011",26,37,41,6,18,9,3X
"Tue, May 03, 2011",36,1,16,50,29,16,2X
"Fri, Apr 29, 2011",9,51,33,11,10,29,4X
"Tue, Apr 26, 2011",19,55,32,29,38,15,3X
"Fri, Apr 22, 2011",53,3,18,51,46,17,3X
"Tue, Apr 19, 2011",20,51,32,45,24,43,4X
"Fri, Apr 15, 2011",23,22,48,39,33,29,3X
"Tue, Apr 12, 2011",45,23,10,39,41,15,2X
"Fri, Apr 08, 2011",56,45,6,40,50,11,3X
"Tue, Apr 05, 2011",20,1,31,19,36,9,2X
"Fri, Apr 01, 2011",13,35,53,14,36,19,3X
"Tue, Mar 29, 2011",38,6,23,34,15,43,4X
"Fri, Mar 25, 2011",22,54,24,31,52,4,4X
"Tue, Mar 22, 2011",14,1,53,50,35,43,4X
"Fri, Mar 18, 2011",56,14,54,34,33,37,4X
"Tue, Mar 15, 2011",10,28,12,11,43,45,4X
"Fri, Mar 11, 2011",42,14,45,19,21,6,2X
"Tue, Mar 08, 2011",41,55,19,17,3,24,4X
"Fri, Mar 04, 2011",10,8,15,23,41,7,4X
"Tue, Mar 01, 2011",19,1,12,20,47,25,3X
"Fri, Feb 25, 2011",4,19,17,5,50,7,4X
"Tue, Feb 22, 2011",15,48,23,55,22,31,4X
"Fri, Feb 18, 2011",45,30,5,6,7,42,3X
"Tue, Feb 15, 2011",17,39,35,24,18,18,4X
"Fri, Feb 11, 2011",32,8,34,17,9,13,2X
"Tue, Feb 08, 2011",47,48,35,36,25,18,2X
"Fri, Feb 04, 2011",6,29,55,48,20,6,4X
"Tue, Feb 01, 2011",16,23,35,26,22,31,4X
"Fri, Jan 28, 2011",33,48,50,49,14,18,4X
"Tue, Jan 25, 2011",8,50,31,5,46,4,4X
"Fri, Jan 21, 2011",21,35,5,9,38,20,4X
"Tue, Jan 18, 2011",38,4,27,29,45,5,4X
"Fri, Jan 14, 2011",35,33,17,2,15,8,2X
"Tue, Jan 11, 2011",45,4,16,1,11,37,4X
"Fri, Jan 07, 2011",4,46,22,42,53,20,2X
"Tue, Jan 04, 2011",15,47,4,25,8,42,4X
"Fri, Dec 31, 2010",56,13,12,35,10,9,4X
"Tue, Dec 28, 2010",36,49,18,6,40,7,4X
"Fri, Dec 24, 2010",16,15,52,40,27,16,4X
"Tue, Dec 21, 2010",8,32,31,11,12,29,4X
"Fri, Dec 17, 2010",26,46,11,20,53,12,4X
"Tue, Dec 14, 2010",18,38,25,31,22,29,3X
"Fri, Dec 10, 2010",44,46,23,33,27,36,4X
"Tue, Dec 07, 2010",53,4,45,38,54,9,4X
"Fri, Dec 03, 2010",18,56,6,12,11,12,3X
"Tue, Nov 30, 2010",16,19,53,47,11,2,4X
"Fri, Nov 26, 2010",43,9,34,5,47,8,2X
"Tue, Nov 23, 2010",2,35,6,12,34,33,4X
"Fri, Nov 19, 2010",7,14,31,51,54,35,2X
"Tue, Nov 16, 2010",26,39,46,1,27,21,3X
"Fri, Nov 12, 2010",38,35,28,26,9,10,4X
"Tue, Nov 09, 2010",53,28,26,8,33,11,4X
"Fri, Nov 05, 2010",46,19,34,25,53,15,4X
"Tue, Nov 02, 2010",54,16,1,12,3,46,2X
"Fri, Oct 29, 2010",28,19,39,26,4,14,4X
"Tue, Oct 26, 2010",32,21,31,15,30,26,4X
"Fri, Oct 22, 2010",53,18,7,2,32,18,4X
"Tue, Oct 19, 2010",42,2,9,14,37,41,4X
"Fri, Oct 15, 2010",31,10,9,50,13,10,4X
"Tue, Oct 12, 2010",36,43,31,37,10,15,4X
"Fri, Oct 08, 2010",37,29,48,24,50,19,4X
"Tue, Oct 05, 2010",10,19,44,37,24,27,4X
"Fri, Oct 01, 2010",3,52,28,8,21,43,4X
"Tue, Sep 28, 2010",38,10,2,13,36,18,3X
"Fri, Sep 24, 2010",55,28,38,2,42,25,4X
"Tue, Sep 21, 2010",43,52,47,3,20,26,4X
"Fri, Sep 17, 2010",14,27,18,4,3,13,3X
"Tue, Sep 14, 2010",55,50,6,56,14,1,4X
"Fri, Sep 10, 2010",17,11,23,12,21,20,3X
"Tue, Sep 07, 2010",8,38,18,22,24,23,4X
"Fri, Sep 03, 2010",13,28,20,36,10,9,4X
"Tue, Aug 31, 2010",20,29,10,48,47,38,3X
"Fri, Aug 27, 2010",4,10,26,32,41,31,4X
"Tue, Aug 24, 2010",28,4,23,32,24,31,3X
"Fri, Aug 20, 2010",4,13,20,29,48,36,4X
"Tue, Aug 17, 2010",40,19,11,43,44,33,4X
"Fri, Aug 13, 2010",24,6,43,55,17,36,4X
"Tue, Aug 10, 2010",2,26,50,14,56,12,2X
"Fri, Aug 06, 2010",13,30,7,54,33,30,3X
"Tue, Aug 03, 2010",22,56,13,20,4,32,2X
"Fri, Jul 30, 2010",11,40,48,52,30,42,4X
"Tue, Jul 27, 2010",10,7,16,2,29,8,4X
"Fri, Jul 23, 2010",39,16,49,19,44,26,2X
"Tue, Jul 20, 2010",28,43,12,36,18,19,3X
"Fri, Jul 16, 2010",2,18,20,39,15,34,3X
"Tue, Jul 13, 2010",14,7,11,15,34,14,3X
"Fri, Jul 09, 2010",1,31,33,34,50,41,4X
"Tue, Jul 06, 2010",8,18,45,47,50,36,2X
"Fri, Jul 02, 2010",12,36,1,32,10,25,4X
"Tue, Jun 29, 2010",15,27,37,3,4,35,3X
"Fri, Jun 25, 2010",1,2,27,19,13,21,4X
"Tue, Jun 22, 2010",23,21,17,12,30,24,4X
"Fri, Jun 18, 2010",55,37,36,41,11,7,4X
"Tue, Jun 15, 2010",21,12,13,4,27,46,4X
"Fri, Jun 11, 2010",33,42,6,34,13,25,3X
"Tue, Jun 08, 2010",48,12,54,28,18,6,3X
"Fri, Jun 04, 2010",17,50,12,15,13,23,4X
"Tue, Jun 01, 2010",12,27,51,44,45,30,2X
"Fri, May 28, 2010",29,20,39,3,11,26,4X
"Tue, May 25, 2010",14,24,5,19,17,25,4X
"Fri, May 21, 2010",30,23,15,20,26,17,3X
"Tue, May 18, 2010",11,37,13,40,19,26,4X
"Fri, May 14, 2010",47,21,56,40,20,12,4X
"Tue, May 11, 2010",26,54,43,33,46,9,4X
"Fri, May 07, 2010",7,50,2,20,34,40,3X
"Tue, May 04, 2010",21,9,36,43,31,8,3X
"Fri, Apr 30, 2010",41,14,20,47,53,40,4X
"Tue, Apr 27, 2010",50,41,37,23,55,6,2X
"Fri, Apr 23, 2010",52,26,28,37,19,18,4X
"Tue, Apr 20, 2010",10,34,8,5,42,25,4X
"Fri, Apr 16, 2010",48,50,10,31,16,44,3X
"Tue, Apr 13, 2010",47,39,12,3,27,32,4X
"Fri, Apr 09, 2010",39,15,18,48,53,3,4X
"Tue, Apr 06, 2010",52,43,16,44,56,26,4X
"Fri, Apr 02, 2010",22,2,30,31,17,19,4X
"Tue, Mar 30, 2010",11,24,44,38,1,41,3X
"Fri, Mar 26, 2010",47,46,23,52,41,22,4X
"Tue, Mar 23, 2010",3,25,40,29,28,13,4X
"Fri, Mar 19, 2010",50,31,10,45,54,25,4X
"Tue, Mar 16, 2010",48,22,56,52,3,13,4X
"Fri, Mar 12, 2010",53,2,48,25,15,41,3X
"Tue, Mar 09, 2010",18,19,16,29,14,16,2X
"Fri, Mar 05, 2010",11,34,44,31,52,32,4X
"Tue, Mar 02, 2010",48,47,9,12,56,25,3X
"Fri, Feb 26, 2010",54,56,14,4,29,40,3X
"Tue, Feb 23, 2010",40,4,16,53,36,18,4X
"Fri, Feb 19, 2010",42,46,39,1,22,36,4X
"Tue, Feb 16, 2010",45,12,21,29,11,5,3X
"Fri, Feb 12, 2010",17,47,16,14,33,23,4X
"Tue, Feb 09, 2010",48,17,26,2,20,12,4X
"Fri, Feb 05, 2010",10,53,20,51,45,41,4X
"Tue, Feb 02, 2010",6,49,7,27,26,9,4X
